Name,Description,Section,Assignee,Start Date,Due Date,Type,Parent Task,Priority,Phase,Blocked By
Review field inventories and resolve unit and type conflicts,"The harness flags three traps: a field the docs call required that is null in practice, an ID that is numeric in one endpoint and a string in another, and any duration field whose unit is not hours. Resolve every flag BEFORE writing DDL — designing from vendor docs and meeting real data later earns a migration in week three.",Phase 1 — Discovery,,9/18/2026,9/22/2026,,,High,1,
"GATE: field inventories reviewed, no unresolved unit ambiguity",Exit test for Phase 1. Every duration field has a stated unit and every cross-endpoint ID has one agreed type.,Phase 1 — Discovery,,9/22/2026,9/23/2026,Milestone,,High,1,
Design the time schema from the observed inventory,"Time goes FIRST deliberately: highest daily interaction, best-understood model (timesheets already exist), and it feeds utilisation — the metric everyone asks for. Lowest schema risk for proving the platform shape.",Phase 2 — Time module,,9/23/2026,9/28/2026,,,High,2,
"Build clock-in / clock-out against customer, project, task","Billable and non-billable split, service category. A live timer already exists in the app — reuse it rather than rebuilding.",Phase 2 — Time module,,9/28/2026,10/5/2026,,,High,2,
Backfill historical TrackingTime data,"One-time load into raw, then staged. Do NOT overwrite hand-made identity mappings: weekly_employee_summary.person_id is deliberately excluded from sync payloads for exactly this reason.",Phase 2 — Time module,,10/5/2026,10/8/2026,,,Medium,2,
"RLS per role for the time module, with negative controls",Employee sees own entries only; dept_head sees their department; exec sees all. Existence of a policy is not proof it does the right thing — each gate must be shown to FAIL when the policy is removed.,Phase 2 — Time module,,10/8/2026,10/13/2026,,,High,2,
GATE: a colleague logs a week of real hours end to end,"Exit test for Phase 2. Real hours, real project, approved by a real manager, with RLS tested per role.",Phase 2 — Time module,,10/13/2026,10/14/2026,Milestone,,High,2,
Design the projects schema from the Asana inventory,"Boards, tasks, sections, milestones, dependencies. There is a partial head start from the existing Kanban work on project_sections.",Phase 3 — Projects module,,10/14/2026,10/19/2026,,,High,3,
"Build task board, sections and assignment","The largest single surface in the platform. Existing TaskBoardView and project_sections work is the starting point, not a rewrite.",Phase 3 — Projects module,,10/19/2026,10/29/2026,,,High,3,
Backfill Asana projects and tasks,"Asana paid tier allows 1500 req/min, but the cost limiter is driven by opt_fields width — request narrow field sets. Honour Retry-After exactly: rejected requests still count against quota, so retrying early makes recovery worse.",Phase 3 — Projects module,,10/29/2026,11/3/2026,,,Medium,3,
"RLS per role for the projects module, with negative controls",Project manager sees own projects; dept_head sees department; exec sees all.,Phase 3 — Projects module,,11/3/2026,11/6/2026,,,High,3,
"GATE: a project runs a full week in the new tool, not Asana","Exit test for Phase 3. One real project, one real week, no falling back to Asana.",Phase 3 — Projects module,,11/6/2026,11/9/2026,Milestone,,High,3,
Design the hr schema from the Factorial inventory,"Deliberately after two other modules: this is the most sensitive data, so the permission model should have been exercised in anger first.",Phase 4 — HR module,,11/9/2026,11/12/2026,,,High,4,
"Holiday booking, sick leave and absence approval",Leave/PTO already exists in the app — extend it rather than starting over.,Phase 4 — HR module,,11/12/2026,11/20/2026,,,High,4,
"Contracts, working-time models and job postings","Contract data is the most sensitive in the platform. Salary-adjacent fields need their own permission key, not a role check.",Phase 4 — HR module,,11/20/2026,11/30/2026,,,Medium,4,
"Decide how granular Factorial hours may be shown, and to whom","A policy question, not a technical one, but it changes what the dept-head dashboard is allowed to display. Carried over from HSE-HUB-PORTAL.md.",Phase 4 — HR module,,11/30/2026,12/1/2026,,,High,4,
GATE: leave request approved end to end with RLS proven per role,Exit test for Phase 4.,Phase 4 — HR module,,12/1/2026,12/2/2026,Milestone,,High,4,
Rebuild Hub to read only from the analytics schema,"Hub's RLS surface becomes SELECT-only. It can then never corrupt operational data, and it can be rebuilt without touching what people depend on daily.",Phase 5 — Hub as pure analytics,,12/2/2026,12/9/2026,,,High,5,
Per-module dashboards for exec and team leads,"One dashboard per module: project health, utilisation, absence and headcount, pipeline.",Phase 5 — Hub as pure analytics,,12/9/2026,12/17/2026,,,High,5,
"Decision surface — approve overtime, flag budget overrun, upcoming birthdays",The ONE exception to read-only. Decisions write to platform.decision and the owning module reads and applies them. Hub never UPDATEs a module table. There is deliberately no UPDATE or DELETE policy on the decision table: an audit trail that can be edited is not one.,Phase 5 — Hub as pure analytics,,12/17/2026,12/23/2026,,,High,5,
GATE: an exec approves overtime in Hub and the Time module applies it,Exit test for Phase 5. Proves the decision seam works without Hub writing to module tables.,Phase 5 — Hub as pure analytics,,12/23/2026,12/24/2026,Milestone,,High,5,
Decide whether Samdock stays in scope or HubSpot replaces it,Open question 8. Do not build the CRM module until this is settled.,Phase 6 — CRM and infrastructure,,12/24/2026,12/25/2026,,,Low,6,
Write the GCP migration checklist,"Schemas, tables, views, functions, RLS and triggers all move with pg_dump. The real lock-in is DASHBOARD-ONLY CONFIG — exposed schemas and Auth provider settings — which is invisible to git and WILL be forgotten. It needs a written checklist before any move.",Phase 6 — CRM and infrastructure,,12/25/2026,12/29/2026,,,Medium,6,
Stand up staging self-hosted on GCP to prove the path,Prove the migration on STAGING while production stays safely hosted. Note: hosted Supabase gives Supavisor connection pooling for free; self-hosted must stand it up or you get connection exhaustion under load.,Phase 6 — CRM and infrastructure,,12/29/2026,1/5/2027,,,Medium,6,
Retire the paid Asana and TrackingTime seats,"LAST, never first. Cancel only after the replacement modules have run real work end to end. This ordering is already the recommendation on the CEO Decision frame of the Miro board.",Phase 6 — CRM and infrastructure,,1/5/2027,1/6/2027,Milestone,,Medium,6,
